0,2,17,18,22,23,26,27,28
0,673.3467624,-311.6867458,-109.1097731,-95.69282486,595.1585278,-128.5374749,23.18527217,510.1202356
60,677.8162357,-306.3434306,-99.98448947,-97.04530805,596.9469396,-126.2820183,28.95287523,512.5414648
120,678.97916,-301.8051573,-95.45795935,-93.27682948,600.3032729,-116.3079784,35.61136336,512.1392539
180,679.0631114,-303.3222338,-71.9231695,-103.6527777,608.5979159,-130.754598,40.28144357,530.0067567
240,685.2134848,-294.4038051,-72.30675244,-98.31335866,606.8781912,-116.8970848,47.41811979,523.1535184
300,677.8631642,-297.7089628,-57.46359761,-98.10721497,618.999726,-115.988583,53.76871368,535.8035056
360,681.8989936,-291.2637175,-52.70696853,-95.56376446,619.8247688,-107.7468188,60.4694818,534.4514625
420,664.1025684,-294.6455411,-53.08275116,-78.19423272,635.9080618,-80.88379325,68.12160577,534.9417062
480,675.9434192,-284.8881805,-44.00797182,-82.89005978,631.2999322,-82.32842602,74.06114143,534.5057502
540,677.1264677,-280.2970378,-36.62574924,-80.95181197,634.4798536,-75.9512541,80.48108205,536.0046606
600,679.8301791,-274.7826767,-29.28454508,-79.76061353,636.2572287,-70.29120024,86.899923,536.9109942
